episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,15.0,-1.7549558168531898,-0.981635911410748,177.96967949572272,18.27665823036,1.6514543518585965,[18.27665823036 1.6514543518585965],4.0,False,True,1.709721956551341,3,59.90599783360937,25.03,in_progress,0.0
0,16.0,-1.8614967419058916,-0.9943047833097078,-178.9709379265868,30.0,1.5493838220044298,[30.0 1.5493838220044298],4.0,False,True,1.8875682793658872,3,59.90599783360937,25.1,in_progress,0.0
0,17.0,-1.9712662225809223,-1.0162394675900988,-174.63459942562824,-12.490529834266376,0.5,[-12.490529834266376 0.5],4.0,False,True,2.0708068751644175,3,59.90599783360937,25.158,in_progress,0.0
0,18.0,-2.1077829873486,-1.0522834016988105,-168.85568155270286,-30.0,2.256638208084814,[-30.0 2.256638208084814],3.0,False,True,2.2986911261795315,4,59.90599783360937,25.239,in_progress,0.0
0,19.0,-2.195158718169718,-1.0686068143519267,-168.4070582980088,-21.72953227193564,3.198362234053924,[-21.72953227193564 3.198362234053924],3.0,False,True,2.4445455299298278,4,59.90599783360937,25.305,in_progress,0.0
0,20.0,-2.319351626813632,-1.0769603992316414,-172.0222327464261,27.17048355979786,1.048408617303181,[27.17048355979786 1.048408617303181],3.0,False,True,2.651886877866825,4,59.90599783360937,25.366,in_progress,0.0
0,21.0,-2.4588984552492796,-1.08413316315962,-176.0144313407298,25.24044081896038,0.558600566188228,[25.24044081896038 0.558600566188228],3.0,False,True,2.8848306777578396,5,59.90599783360937,25.439,in_progress,0.0
0,22.0,-2.538104594462717,-1.0939406966276222,-175.99920144766563,23.6399369195096,3.282034748031869,[23.6399369195096 3.282034748031869],3.0,False,True,3.017049149466645,5,59.90599783360937,25.499,in_progress,0.0
0,23.0,-2.639921812019244,-1.1161751784475895,-172.6258027477518,30.0,4.0,[30.0 4.0],3.0,False,True,3.1869740071831667,5,59.90599783360937,25.569,in_progress,0.0
0,24.0,-2.7528229151888497,-1.1692636264804626,-164.42001049856086,-30.0,2.6200176087851874,[-30.0 2.6200176087851874],2.0,False,True,3.3754355657559647,6,59.90599783360937,25.645,in_progress,0.0
0,25.0,-2.859417053826628,-1.2268119478297828,-157.1151400511595,-8.485894139033327,1.567605605840781,[-8.485894139033327 1.567605605840781],1.5,False,True,3.5533688364312788,6,59.90599783360937,25.684,in_progress,0.0
0,26.0,-2.966872161127246,-1.2657486393853585,-156.4902421699523,30.0,4.0,[30.0 4.0],1.5,False,True,3.7326722013838616,6,59.90599783360937,25.768,in_progress,0.0
0,27.0,-3.0934348005863836,-1.3102021968514683,-158.2283765638773,0.474264661552116,4.0,[0.474264661552116 4.0],1.001,False,False,3.9439316364527204,7,59.90599783360937,25.834,in_progress,0.0
0,28.0,-3.20789297547005,-1.358099218847692,-157.84606914783615,30.0,1.0066410454642363,[30.0 1.0066410454642363],1.001,False,False,4.134984587926844,7,59.90599783360937,25.904,in_progress,0.0
0,29.0,-3.3251677469996523,-1.366849114767025,-164.8835803605978,27.61219546263706,1.1661766957637534,[27.61219546263706 1.1661766957637534],1.001,False,False,4.331090143594362,7,59.90599783360937,25.967,in_progress,0.0
0,30.0,-3.4710204564001836,-1.3781624648961939,-170.77402799124437,-3.874165462634952,2.136482219098389,[-3.874165462634952 2.136482219098389],1.001,False,False,4.57456471260958,8,59.90599783360937,26.04,in_progress,0.0
